ein,business_name,source_zip,source_entry
611161526,"Dennis Wayne Fleming CPA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349100055_public.xml"
320333393,"ST FRANCIS OF ASSISI CONFERENCE SOCIETY OF ST VINCENT DE PAUL",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200010_public.xml"
300692950,"rbce incorporated",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200060_public.xml"
851908229,"BLM FOUNDATION INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202330109349200218_public.xml"
113276258,"TRUE LIGHT EDUCATIONAL MINISTRY INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200090_public.xml"
920129925,"Hutchings &amp; Associates CPAs",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200155_public.xml"
825035703,"Accounting Plus Inc",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200205_public.xml"
812072162,"NPO Financial Services LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200210_public.xml"
222695720,"ROYAL AND SELECT MASTER MASONS CRYPTIC COUNCIL",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200535_public.xml"
463046722,"VINEYARD INSTITUTE",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200675_public.xml"
273114329,"AMIR",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200700_public.xml"
462344093,"CHICAGO YOUTH SHAKESPEARE INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349200960_public.xml"
660786356,"Rodriguez Rivera &amp; Toro PSC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349300125_public.xml"
660190784,"Finanxial Corp",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349300240_public.xml"
262495986,"ArmonkYouthSports FoundationLtd",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349300285_public.xml"
330551318,"JAY L ROCHA CPA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300109349300470_public.xml"
066013121,"NORTHEASTERN SYSTEM FEDERATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300119349300100_public.xml"
861784684,"Daniel E Passmore Attorney at Law",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300119349300800_public.xml"
746068932,"ADKF PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349302560_public.xml"
