name,ein,city,state,website,phone,formatted_address,place_id
LILLY ENDOWMENT INC,350868122,INDIANAPOLIS,IN,http://www.lillyendowment.org/,(317) 924-5471,2801 N Meridian St, Indianapolis, IN 46208, USA,ChIJ1UM8ED1Ra4gRjyGJRmyZLoE
GATES FOUNDATION,562618866,SEATTLE,WA,http://gatesfoundation.org/,(206) 709-3100,500 5th Ave N, Seattle, WA 98109, USA,ChIJM3d0rEcVkFQRHe-TbdJ-y68
GATES FOUNDATION TRUST,911663695,KIRKLAND,WA,http://gatesfoundation.org/,(206) 709-3100,500 5th Ave N, Seattle, WA 98109, USA,ChIJM3d0rEcVkFQRHe-TbdJ-y68
FORD FOUNDATION,131684331,NEW YORK,NY,https://www.fordfoundation.org/about/the-ford-foundation-center-for-social-justice/,(212) 573-5000,320 E 43rd St, New York, NY 10017, USA,ChIJ-f_F2txZwokR_cfRXvbXrsI
WILLIAM & FLORA HEWLETT FOUNDATION,941655673,MENLO PARK,CA,http://hewlett.org/,(650) 234-4500,2121 Sand Hill Rd, Menlo Park, CA 94025, USA,ChIJeVCq7d6kj4ARVCfILXSUSJc
J PAUL GETTY TRUST,951790021,LOS ANGELES,CA,,(310) 440-6900,1200 Getty Center Dr, Los Angeles, CA 90049, USA,ChIJd2WyYwC9woARSdlIFsCTorg
ROBERT WOOD JOHNSON FOUNDATION,226029397,PRINCETON,NJ,http://www.rwjf.org/,(877) 843-7953,50 College Rd E, Princeton, NJ 08540, USA,ChIJPTT8vW_nw4kRfOISoXQlL9U
BLOOMBERG FAMILY FOUNDATION INC,205602483,NEW YORK,NY,http://www.bloomberg.org/,(212) 205-0100,25 E 78th St, New York, NY 10075, USA,ChIJSZYsNJRYwokRnFqKKNtMcmk
GORDON E AND BETTY I MOORE FOUNDATION,943397785,PALO ALTO,CA,https://www.moore.org/,(650) 213-3000,1661 Page Mill Rd, Palo Alto, CA 94304, USA,ChIJr3LUHL66j4ARGdU0-QdDXhQ
FOUNDATION TO PROMOTE OPEN SOCIETY,263753801,NEW YORK,NY,http://www.rockefellerfoundation.org/,(212) 869-8500,420 5th Ave, New York, NY 10018, USA,ChIJPQpvCKpZwokR0g6KlxDm9Ck
JOHN D & CATHERINE T MACARTHUR FOUNDATION,237093598,CHICAGO,IL,http://www.macfound.org/,(312) 726-8000,140 S Dearborn St #1200, Chicago, IL 60603, USA,ChIJP_NOo7wsDogRL91aD_zF8ng
W K KELLOGG FOUNDATION TRUST-T/A 5315,366030614,BATTLE CREEK,MI,http://www.wkkf.org/,(269) 968-1611,1 E Michigan Ave, Battle Creek, MI 49017, USA,ChIJO-NLYo7xF4gReYSTbZ4Dgu4
DAVID AND LUCILE PACKARD FOUNDATION,942278431,LOS ALTOS,CA,https://www.packard.org/,(650) 948-7658,343 2nd St, Los Altos, CA 94022, USA,ChIJFStHju-wj4AR6jbhZGMhbcU
ANDREW W MELLON FOUNDATION,131879954,NEW YORK,NY,http://www.mellon.org/,(212) 838-8400,140 E 62nd St, New York, NY 10065, USA,ChIJ39xFR-9YwokR_3WrWuMEPHw
MICHAEL & SUSAN DELL FOUNDATION,364336415,AUSTIN,TX,http://www.dell.org/,(512) 329-0799,4417 Westlake Dr, Austin, TX 78746, USA,ChIJqdUNLRk1W4YR7g6h2RDO7yc
CHAN ZUCKERBERG INITIATIVE FOUNDATION,455002209,PALO ALTO,CA,https://chanzuckerberg.com/,,1180 Main St, Redwood City, CA 94063, USA,ChIJmYOyOhi7j4ARL9vTt-7WqeU
CONRAD N HILTON FOUNDATION,943100217,WESTLAKE VLG,CA,https://www.hiltonfoundation.org/,(818) 851-3700,1 Dole Dr, Westlake Village, CA 91362, USA,ChIJBdv3og0k6IARvzRYRtJq7AU
PIVOTAL PHILANTHROPIES FOUNDATION,882918646,REDMOND,WA,http://philanthropynw.org/,(206) 443-8430,600 University St Ste 1725, Seattle, WA 98101, USA,ChIJI6Exe0wVkFQROFoK5fErfT8
LEONA M & HARRY B HELMSLEY CHARITABLE TRUST,137184401,NEW YORK,NY,http://helmsleytrust.org/,(212) 679-3600,230 Park Ave, New York, NY 10169, USA,ChIJQUen-f1YwokRuCpB9G2_7es
ROCKEFELLER FOUNDATION,131659629,NEW YORK,NY,http://www.rockefellerfoundation.org/,(212) 869-8500,420 5th Ave, New York, NY 10018, USA,ChIJPQpvCKpZwokR0g6KlxDm9Ck
WALTON FAMILY FOUNDATION INC,133441466,BENTONVILLE,AR,http://www.waltonfamilyfoundation.org/,(479) 464-1570,215 NW A St, Bentonville, AR 72712, USA,ChIJGeIbypkayYcReCsRUO1xEoQ
GOOD VENTURES FOUNDATION,461008520,PALO ALTO,CA,http://www.foundationcapital.com/,(650) 614-0500,550 High St, Palo Alto, CA 94301, USA,ChIJoymjrE-7j4AR6rqhfRkjJkI
OPEN SOCIETY INSTITUTE,137029285,NEW YORK,NY,https://www.openspaceinstitute.org/,(212) 290-8200,1370 Broadway 5th Floor, New York, NY 10018, USA,ChIJX7Pb4KtZwokR9oTWEQ_bwZ8
FIDELITY FOUNDATION,046131201,BOSTON,MA,https://www.fidelity.com/customer-service/branches/overview,(800) 343-3548,245 Summer St, Boston, MA 02210, USA,ChIJVVWVYX9644kRWh5kPXafBoI
