name,ein,city,state,website,phone,formatted_address,place_id
LUNDSTROM-BOEHME FOUNDATION,346819968,PITTSBURGH,PA,https://benedum.org/,(412) 288-0360,223 Fourth Ave #1400, Pittsburgh, PA 15222, USA,ChIJdYQksVbxNIgRCNwKFKd7o6I
MORRISSETTE FAMILY FOUNDATION INC,541851621,SPRINGFIELD,VA,http://morrissettecos.com/,(703) 569-4200,5801 Rolling Rd, West Springfield, VA 22152, USA,ChIJvb12UINNtokR4q9Y-cROQbg
DAVID STONE FOUNDATION INC,521120708,ROCKVILLE,MD,https://davidstonework.com/,(717) 330-0819,27 Apache Ln, Willow Street, PA 17584, USA,ChIJUV1jKzgvxokRwpguCcZGhCo
JOHANNA A RODMAN FOUNDATION,912032417,YAKIMA,WA,https://srbfoundation.org/,(509) 457-0704,308 N 4th St, Yakima, WA 98901, USA,ChIJVwFEh43XmVQRIigfvMCyROc
LAWRENCE AND IRA STRAUS CHARITABLE TR,476446191,ARLINGTON,VA,https://strausfoundation.org/,(410) 539-8308,1001 N Charles St Ste 301, Baltimore, MD 21201, USA,ChIJ8zs8oZcEyIkRJXUyb4eQE0Q
BROOKS FAMILY CHARITABLE TRUST,756333715,FORT WORTH,TX,https://brookeshousefoundation.org/,(817) 241-2800,640 Taylor St, Fort Worth, TX 76102, USA,ChIJT6LLQkRxToYReIgGlS38xfk
CAMP COUNTY YOUTH PROJECT SHOW,203887186,PITTSBURG,TX,https://www.chamberscountytx.gov/291/Youth-Project-Show,(409) 267-2692,White Mem Pk Rd, Hankamer, TX 77560, USA,ChIJs_vRPXs5P4YRT1F_PuR87yA
TEACHERS COUNCIL INC,522183420,ANNAPOLIS,MD,http://teacherscouncil.com/,(443) 949-3263,95 Cathedral St, Annapolis, MD 21401, USA,ChIJv0hor1D2t4kRO1cXtXJvqKM
GOLDEN SUN FOUNDATION,263936540,CUPERTINO,CA,https://goldenvision2020.com/location/golden-vision-optometry-cupertino/,(408) 419-9957,19459 Stevens Creek Blvd #110, Cupertino, CA 95014, USA,ChIJdwOiUp-1j4ARQ696GJj18JE
ALLENDER FAMILY FOUNDATION INC,208017640,HENDERSON,NV,http://www.ogdenfamilyfoundation.org/,(702) 530-9360,10624 S Eastern Ave, Henderson, NV 89052, USA,ChIJVVUVHwfOyIARx_e__vHggaE
ST STANISLAUS HISTORICAL MUSEUM SOCIETY INC,431073136,FLORISSANT,MO,http://www.paranormaltaskforce.com/museum_about.html,(314) 837-3525,3030 Charbonier Rd, Florissant, MO 63031, USA,ChIJh8qTflE334cR8lg-BHDdxRs
GEORGE W AND AUDREY H MCGLAUGHLIN FOUNDATION,476817313,PITTSBURGH,PA,http://pittsburghfoundation.org/,(412) 391-5122,912 Fort Duquesne Blvd, Pittsburgh, PA 15222, USA,ChIJO1CPWlHxNIgRqcRVuU5ORao
WATLING FOUNDATION INC,386056458,SANTA BARBARA,CA,https://towbesfoundation.org/,(805) 690-4603,33 E Carrillo St Ste 201, Santa Barbara, CA 93101, USA,ChIJA2WEHH4V6YARoxnGqzkkEGU
GRAVES TECHNOLOGIES FOUNDATION,844066874,MESA,AZ,https://www.graves-tech.com/,(480) 590-6546,4836 E Indigo St #102, Mesa, AZ 85205, USA,ChIJL9NAmcGlK4cROiS0weyeiMI
ARBAUGH FAM CHARITABLE TR,356865820,VENICE,FL,http://www.visitvenicefl.org/,(941) 484-6722,101 W Venice Ave #23, Venice, FL 34285, USA,ChIJHYWhzLpbw4gR-dyWVALZtfw
